"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","N_segregating_mutations_selfing"
"308",0.01,0.2,0.6,8,1918
"309",0.01,0.2,0.6,9,1963
"310",0.01,0.2,0.6,10,2060
"311",0.01,0.2,0.6,11,1948
"312",0.01,0.2,0.6,12,1916
"313",0.01,0.2,0.6,13,1860
"314",0.01,0.2,0.6,14,1850
"315",0.01,0.2,0.6,15,1815
"316",0.01,0.2,0.6,16,2016
"317",0.01,0.2,0.6,17,1881
"318",0.01,0.2,0.6,18,1900
"319",0.01,0.2,0.6,19,1909
"320",0.01,0.2,0.6,20,1916
"321",0.01,0.2,0.6,21,1959
"322",0.01,0.2,0.6,22,1949
"323",0.01,0.2,0.6,23,1893
"324",0.01,0.2,0.6,24,1952
"325",0.01,0.2,0.6,25,1872
"326",0.01,0.2,0.6,26,1914
"327",0.01,0.2,0.6,27,2034
"328",0.01,0.2,0.6,28,1852
"329",0.01,0.2,0.6,29,1809
"330",0.01,0.2,0.6,30,1944
"331",0.01,0.2,0.6,31,1887
"332",0.01,0.2,0.6,32,1949
"333",0.01,0.2,0.6,33,2016
"334",0.01,0.2,0.6,34,1929
"335",0.01,0.2,0.6,35,1941
"336",0.01,0.2,0.6,36,1982
"337",0.01,0.2,0.6,37,1883
"338",0.01,0.2,0.6,38,2035
"339",0.01,0.2,0.6,39,1860
"340",0.01,0.2,0.6,40,1971
"341",0.01,0.2,0.6,41,1880
"342",0.01,0.2,0.6,42,2014
"343",0.01,0.2,0.6,43,1883
"344",0.01,0.2,0.6,44,1957
"345",0.01,0.2,0.6,45,1944
"346",0.01,0.2,0.6,46,2016
"347",0.01,0.2,0.6,47,1856
"348",0.01,0.2,0.6,48,2041
"349",0.01,0.2,0.6,49,1984
"350",0.01,0.2,0.6,50,1971
"351",0.01,0.2,0.6,51,1939
"352",0.01,0.2,0.6,52,1955
"353",0.01,0.2,0.6,53,1917
"354",0.01,0.2,0.6,54,1900
"355",0.01,0.2,0.6,55,2041
"356",0.01,0.2,0.6,56,1926
"357",0.01,0.2,0.6,57,2052
"358",0.01,0.2,0.6,58,1938
"359",0.01,0.2,0.6,59,2026
"360",0.01,0.2,0.6,60,1951
"361",0.01,0.2,0.6,61,1860
"362",0.01,0.2,0.6,62,1927
"363",0.01,0.2,0.6,63,2036
"364",0.01,0.2,0.6,64,2015
"365",0.01,0.2,0.6,65,1825
"366",0.01,0.2,0.6,66,1815
"367",0.01,0.2,0.6,67,2001
"368",0.01,0.2,0.6,68,1988
"369",0.01,0.2,0.6,69,2041
"370",0.01,0.2,0.6,70,2195
"371",0.01,0.2,0.6,71,1856
"372",0.01,0.2,0.6,72,2051
"373",0.01,0.2,0.6,73,1931
"374",0.01,0.2,0.6,74,1895
"375",0.01,0.2,0.6,75,1999
"376",0.01,0.2,0.6,76,1997
"377",0.01,0.2,0.6,77,1811
"378",0.01,0.2,0.6,78,1907
"379",0.01,0.2,0.6,79,1865
"380",0.01,0.2,0.6,80,1941
"381",0.01,0.2,0.6,81,1877
"382",0.01,0.2,0.6,82,1956
"383",0.01,0.2,0.6,83,1880
"384",0.01,0.2,0.6,84,1993
"385",0.01,0.2,0.6,85,1946
"386",0.01,0.2,0.6,86,1955
"387",0.01,0.2,0.6,87,1954
"388",0.01,0.2,0.6,88,2123
"389",0.01,0.2,0.6,89,2163
"390",0.01,0.2,0.6,90,1893
"391",0.01,0.2,0.6,91,2097
"392",0.01,0.2,0.6,92,1995
"393",0.01,0.2,0.6,93,2010
"394",0.01,0.2,0.6,94,2051
"395",0.01,0.2,0.6,95,1873
"396",0.01,0.2,0.6,96,2043
"397",0.01,0.2,0.6,97,1822
"398",0.01,0.2,0.6,98,2023
"399",0.01,0.2,0.6,99,1867
"400",0.01,0.2,0.6,100,1853
"401",0.01,0.2,0.8,1,1368
"402",0.01,0.2,0.8,2,1497
"403",0.01,0.2,0.8,3,1312
"404",0.01,0.2,0.8,4,1443
"405",0.01,0.2,0.8,5,1358
"406",0.01,0.2,0.8,6,1482
"407",0.01,0.2,0.8,7,1437
"408",0.01,0.2,0.8,8,1543
"409",0.01,0.2,0.8,9,1510
"410",0.01,0.2,0.8,10,1592
"411",0.01,0.2,0.8,11,1398
"412",0.01,0.2,0.8,12,1424
"413",0.01,0.2,0.8,13,1590
"414",0.01,0.2,0.8,14,1467
"415",0.01,0.2,0.8,15,1573
"416",0.01,0.2,0.8,16,1485
"417",0.01,0.2,0.8,17,1548
"418",0.01,0.2,0.8,18,1532
"419",0.01,0.2,0.8,19,1404
"420",0.01,0.2,0.8,20,1372
"421",0.01,0.2,0.8,21,1310
"422",0.01,0.2,0.8,22,1412
"423",0.01,0.2,0.8,23,1464
