"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","N_segregating_mutations_cloning"
"625",0.01,0.2,0.99,25,337873
"626",0.01,0.2,0.99,26,332192
"627",0.01,0.2,0.99,27,331625
"628",0.01,0.2,0.99,28,330795
"629",0.01,0.2,0.99,29,331173
"630",0.01,0.2,0.99,30,328901
"631",0.01,0.2,0.99,31,335539
"632",0.01,0.2,0.99,32,335392
"633",0.01,0.2,0.99,33,332262
"634",0.01,0.2,0.99,34,333312
"635",0.01,0.2,0.99,35,334309
"636",0.01,0.2,0.99,36,330203
"637",0.01,0.2,0.99,37,334837
"638",0.01,0.2,0.99,38,335272
"639",0.01,0.2,0.99,39,335643
"640",0.01,0.2,0.99,40,328281
"641",0.01,0.2,0.99,41,333918
"642",0.01,0.2,0.99,42,330513
"643",0.01,0.2,0.99,43,332113
"644",0.01,0.2,0.99,44,332414
"645",0.01,0.2,0.99,45,329149
"646",0.01,0.2,0.99,46,328160
"647",0.01,0.2,0.99,47,330130
"648",0.01,0.2,0.99,48,333799
"649",0.01,0.2,0.99,49,330948
"650",0.01,0.2,0.99,50,330944
"651",0.01,0.2,0.99,51,333599
"652",0.01,0.2,0.99,52,332158
"653",0.01,0.2,0.99,53,331425
"654",0.01,0.2,0.99,54,333765
"655",0.01,0.2,0.99,55,334350
"656",0.01,0.2,0.99,56,332383
"657",0.01,0.2,0.99,57,336274
"658",0.01,0.2,0.99,58,331633
"659",0.01,0.2,0.99,59,331306
"660",0.01,0.2,0.99,60,334957
"661",0.01,0.2,0.99,61,332589
"662",0.01,0.2,0.99,62,336956
"663",0.01,0.2,0.99,63,337063
"664",0.01,0.2,0.99,64,336818
"665",0.01,0.2,0.99,65,333419
"666",0.01,0.2,0.99,66,333438
"667",0.01,0.2,0.99,67,329847
"668",0.01,0.2,0.99,68,338414
"669",0.01,0.2,0.99,69,334769
"670",0.01,0.2,0.99,70,331668
"671",0.01,0.2,0.99,71,334754
"672",0.01,0.2,0.99,72,334680
"673",0.01,0.2,0.99,73,335427
"674",0.01,0.2,0.99,74,333044
"675",0.01,0.2,0.99,75,333225
"676",0.01,0.2,0.99,76,333609
"677",0.01,0.2,0.99,77,329249
"678",0.01,0.2,0.99,78,336782
"679",0.01,0.2,0.99,79,340713
"680",0.01,0.2,0.99,80,335862
"681",0.01,0.2,0.99,81,335334
"682",0.01,0.2,0.99,82,328891
"683",0.01,0.2,0.99,83,336984
"684",0.01,0.2,0.99,84,329410
