"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","N_seg_homo_genotypes_cloning"
"495",0.01,0.2,0.8,95,66
"496",0.01,0.2,0.8,96,97
"497",0.01,0.2,0.8,97,76
"498",0.01,0.2,0.8,98,116
"499",0.01,0.2,0.8,99,62
"500",0.01,0.2,0.8,100,44
"501",0.01,0.2,0.95,1,2168
"502",0.01,0.2,0.95,2,5491
"503",0.01,0.2,0.95,3,0
"504",0.01,0.2,0.95,4,4985
"505",0.01,0.2,0.95,5,2422
"506",0.01,0.2,0.95,6,6856
"507",0.01,0.2,0.95,7,8045
"508",0.01,0.2,0.95,8,940
"509",0.01,0.2,0.95,9,342
"510",0.01,0.2,0.95,10,584
"511",0.01,0.2,0.95,11,1351
"512",0.01,0.2,0.95,12,9137
"513",0.01,0.2,0.95,13,3230
"514",0.01,0.2,0.95,14,1738
"515",0.01,0.2,0.95,15,3325
"516",0.01,0.2,0.95,16,3295
"517",0.01,0.2,0.95,17,3887
"518",0.01,0.2,0.95,18,1097
"519",0.01,0.2,0.95,19,8243
"520",0.01,0.2,0.95,20,2609
"521",0.01,0.2,0.95,21,6214
"522",0.01,0.2,0.95,22,1290
"523",0.01,0.2,0.95,23,2340
"524",0.01,0.2,0.95,24,3782
"525",0.01,0.2,0.95,25,46
"526",0.01,0.2,0.95,26,2535
"527",0.01,0.2,0.95,27,5137
"528",0.01,0.2,0.95,28,1520
"529",0.01,0.2,0.95,29,3550
"530",0.01,0.2,0.95,30,2931
"531",0.01,0.2,0.95,31,5068
"532",0.01,0.2,0.95,32,0
"533",0.01,0.2,0.95,33,3617
"534",0.01,0.2,0.95,34,6597
"535",0.01,0.2,0.95,35,0
"536",0.01,0.2,0.95,36,5275
"537",0.01,0.2,0.95,37,411
"538",0.01,0.2,0.95,38,1763
"539",0.01,0.2,0.95,39,22
"540",0.01,0.2,0.95,40,7076
"541",0.01,0.2,0.95,41,2660
"542",0.01,0.2,0.95,42,8591
"543",0.01,0.2,0.95,43,6114
"544",0.01,0.2,0.95,44,0
"545",0.01,0.2,0.95,45,645
"546",0.01,0.2,0.95,46,0
"547",0.01,0.2,0.95,47,3341
"548",0.01,0.2,0.95,48,7476
"549",0.01,0.2,0.95,49,1484
"550",0.01,0.2,0.95,50,0
"551",0.01,0.2,0.95,51,1553
"552",0.01,0.2,0.95,52,6671
"553",0.01,0.2,0.95,53,4262
"554",0.01,0.2,0.95,54,67
"555",0.01,0.2,0.95,55,936
"556",0.01,0.2,0.95,56,4483
"557",0.01,0.2,0.95,57,5357
"558",0.01,0.2,0.95,58,1599
"559",0.01,0.2,0.95,59,5809
"560",0.01,0.2,0.95,60,1261
"561",0.01,0.2,0.95,61,1169
"562",0.01,0.2,0.95,62,1504
"563",0.01,0.2,0.95,63,4073
"564",0.01,0.2,0.95,64,1819
"565",0.01,0.2,0.95,65,48
"566",0.01,0.2,0.95,66,1693
"567",0.01,0.2,0.95,67,3187
"568",0.01,0.2,0.95,68,5540
"569",0.01,0.2,0.95,69,904
"570",0.01,0.2,0.95,70,2785
"571",0.01,0.2,0.95,71,2044
"572",0.01,0.2,0.95,72,10264
"573",0.01,0.2,0.95,73,5870
"574",0.01,0.2,0.95,74,2431
"575",0.01,0.2,0.95,75,1325
"576",0.01,0.2,0.95,76,703
"577",0.01,0.2,0.95,77,183
"578",0.01,0.2,0.95,78,0
"579",0.01,0.2,0.95,79,4681
"580",0.01,0.2,0.95,80,2281
"581",0.01,0.2,0.95,81,3672
"582",0.01,0.2,0.95,82,4584
"583",0.01,0.2,0.95,83,1389
"584",0.01,0.2,0.95,84,6863
"585",0.01,0.2,0.95,85,0
"586",0.01,0.2,0.95,86,2520
"587",0.01,0.2,0.95,87,3885
"588",0.01,0.2,0.95,88,2807
"589",0.01,0.2,0.95,89,4352
"590",0.01,0.2,0.95,90,0
"591",0.01,0.2,0.95,91,36
"592",0.01,0.2,0.95,92,1367
"593",0.01,0.2,0.95,93,4736
"594",0.01,0.2,0.95,94,1246
"595",0.01,0.2,0.95,95,483
"596",0.01,0.2,0.95,96,10779
"597",0.01,0.2,0.95,97,5341
"598",0.01,0.2,0.95,98,2353
"599",0.01,0.2,0.95,99,1768
"600",0.01,0.2,0.95,100,2754
"601",0.01,0.2,0.99,1,108
