"","Selection_coefficient","Dominance_coefficient","GC_rate","Mean_tract_length","Replicate","N_segregating_mutations_GC"
"528",0.01,0.2,1e-10,4000,28,345237
"529",0.01,0.2,1e-10,4000,29,344929
"530",0.01,0.2,1e-10,4000,30,349201
"531",0.01,0.2,1e-10,4000,31,346095
"532",0.01,0.2,1e-10,4000,32,349838
"533",0.01,0.2,1e-10,4000,33,345233
"534",0.01,0.2,1e-10,4000,34,347543
"535",0.01,0.2,1e-10,4000,35,347999
"536",0.01,0.2,1e-10,4000,36,343944
"537",0.01,0.2,1e-10,4000,37,343686
"538",0.01,0.2,1e-10,4000,38,344852
"539",0.01,0.2,1e-10,4000,39,349091
"540",0.01,0.2,1e-10,4000,40,350017
"541",0.01,0.2,1e-10,4000,41,344312
"542",0.01,0.2,1e-10,4000,42,346409
"543",0.01,0.2,1e-10,4000,43,345116
"544",0.01,0.2,1e-10,4000,44,348993
"545",0.01,0.2,1e-10,4000,45,345657
"546",0.01,0.2,1e-10,4000,46,344778
"547",0.01,0.2,1e-10,4000,47,346005
"548",0.01,0.2,1e-10,4000,48,349525
"549",0.01,0.2,1e-10,4000,49,343557
"550",0.01,0.2,1e-10,4000,50,344098
"551",0.01,0.2,1e-10,4000,51,347587
"552",0.01,0.2,1e-10,4000,52,347990
"553",0.01,0.2,1e-10,4000,53,350673
"554",0.01,0.2,1e-10,4000,54,350026
"555",0.01,0.2,1e-10,4000,55,345888
"556",0.01,0.2,1e-10,4000,56,347413
"557",0.01,0.2,1e-10,4000,57,345369
"558",0.01,0.2,1e-10,4000,58,342210
"559",0.01,0.2,1e-10,4000,59,341212
"560",0.01,0.2,1e-10,4000,60,349150
"561",0.01,0.2,1e-10,4000,61,348856
"562",0.01,0.2,1e-10,4000,62,351498
"563",0.01,0.2,1e-10,4000,63,343840
"564",0.01,0.2,1e-10,4000,64,346840
"565",0.01,0.2,1e-10,4000,65,346638
"566",0.01,0.2,1e-10,4000,66,349234
"567",0.01,0.2,1e-10,4000,67,349456
"568",0.01,0.2,1e-10,4000,68,343242
"569",0.01,0.2,1e-10,4000,69,347771
"570",0.01,0.2,1e-10,4000,70,345716
"571",0.01,0.2,1e-10,4000,71,349165
