"","Selection_coefficient","Dominance_coefficient","GC_rate","Mean_tract_length","Replicate","Relative_homo_GC"
"243",0.01,0.2,1e-07,4000,43,0.0556695952048608
"244",0.01,0.2,1e-07,4000,44,0.0913352487524573
"245",0.01,0.2,1e-07,4000,45,0.050495574499327
"246",0.01,0.2,1e-07,4000,46,0.0531223509465951
"247",0.01,0.2,1e-07,4000,47,0.114072970960536
"248",0.01,0.2,1e-07,4000,48,0.0749410959945276
"249",0.01,0.2,1e-07,4000,49,0.149816543757039
"250",0.01,0.2,1e-07,4000,50,0.112229246941753
"251",0.01,0.2,1e-07,4000,51,0.0915172217477939
"252",0.01,0.2,1e-07,4000,52,0.0744518482671332
"253",0.01,0.2,1e-07,4000,53,0.0610581796067302
"254",0.01,0.2,1e-07,4000,54,0.106166560712015
"255",0.01,0.2,1e-07,4000,55,0.067463162086818
"256",0.01,0.2,1e-07,4000,56,0.0587180048129512
"257",0.01,0.2,1e-07,4000,57,0.0572706233083592
"258",0.01,0.2,1e-07,4000,58,0.122459423892382
"259",0.01,0.2,1e-07,4000,59,0.0719834282755049
"260",0.01,0.2,1e-07,4000,60,0.0614728014675602
"261",0.01,0.2,1e-07,4000,61,0.0566429418742586
"262",0.01,0.2,1e-07,4000,62,0.071340142370783
"263",0.01,0.2,1e-07,4000,63,0.0489554950045413
"264",0.01,0.2,1e-07,4000,64,0.117476983945827
"265",0.01,0.2,1e-07,4000,65,0.0603586889301175
"266",0.01,0.2,1e-07,4000,66,0.0404399323181049
"267",0.01,0.2,1e-07,4000,67,0.105610077632928
"268",0.01,0.2,1e-07,4000,68,0.0655659628512462
"269",0.01,0.2,1e-07,4000,69,0.0693591814754981
"270",0.01,0.2,1e-07,4000,70,0.0521416738976098
"271",0.01,0.2,1e-07,4000,71,0.0892074263276276
"272",0.01,0.2,1e-07,4000,72,0.0709715478513409
"273",0.01,0.2,1e-07,4000,73,0.123907123405475
"274",0.01,0.2,1e-07,4000,74,0.0576621748668129
"275",0.01,0.2,1e-07,4000,75,0.0712356094925398
"276",0.01,0.2,1e-07,4000,76,0.0710566615620214
"277",0.01,0.2,1e-07,4000,77,0.0744992386084104
"278",0.01,0.2,1e-07,4000,78,0.0865291533248939
"279",0.01,0.2,1e-07,4000,79,0.0701361088871097
"280",0.01,0.2,1e-07,4000,80,0.127611197953673
"281",0.01,0.2,1e-07,4000,81,0.0651303871592872
"282",0.01,0.2,1e-07,4000,82,0.0589846062759029
"283",0.01,0.2,1e-07,4000,83,0.0820767915436033
"284",0.01,0.2,1e-07,4000,84,0.0893197582444327
"285",0.01,0.2,1e-07,4000,85,0.120586867362902
"286",0.01,0.2,1e-07,4000,86,0.0702543424317618
"287",0.01,0.2,1e-07,4000,87,0.130109726613353
"288",0.01,0.2,1e-07,4000,88,0.0575557188341905
"289",0.01,0.2,1e-07,4000,89,0.0430401885859853
"290",0.01,0.2,1e-07,4000,90,0.0513501213592233
"291",0.01,0.2,1e-07,4000,91,0.0985378493429576
"292",0.01,0.2,1e-07,4000,92,0.0673975484445164
"293",0.01,0.2,1e-07,4000,93,0.0821906887755102
"294",0.01,0.2,1e-07,4000,94,0.0660388510185587
"295",0.01,0.2,1e-07,4000,95,0.0697638994668698
"296",0.01,0.2,1e-07,4000,96,0.0502765623710064
"297",0.01,0.2,1e-07,4000,97,0.0779333123623781
"298",0.01,0.2,1e-07,4000,98,0.0460558154541055
"299",0.01,0.2,1e-07,4000,99,0.0790791599353796
"300",0.01,0.2,1e-07,4000,100,0.0994231180115376
"301",0.01,0.2,1e-08,4000,1,0.00714353226777302
"302",0.01,0.2,1e-08,4000,2,0.00533436976218816
"303",0.01,0.2,1e-08,4000,3,0.00438062788999757
"304",0.01,0.2,1e-08,4000,4,0.00834048587528455
"305",0.01,0.2,1e-08,4000,5,0.00620179767690604
"306",0.01,0.2,1e-08,4000,6,0.00671150689309528
"307",0.01,0.2,1e-08,4000,7,0.0043839497664446
"308",0.01,0.2,1e-08,4000,8,0.00869418540205788
"309",0.01,0.2,1e-08,4000,9,0.00672544365321578
"310",0.01,0.2,1e-08,4000,10,0.00589650163130195
"311",0.01,0.2,1e-08,4000,11,0.0045348024698987
"312",0.01,0.2,1e-08,4000,12,0.00526142716211772
"313",0.01,0.2,1e-08,4000,13,0.00711495400482731
"314",0.01,0.2,1e-08,4000,14,0.0105090186487313
"315",0.01,0.2,1e-08,4000,15,0.0107231027269472
"316",0.01,0.2,1e-08,4000,16,0.00632748057310534
"317",0.01,0.2,1e-08,4000,17,0.0052381332344534
"318",0.01,0.2,1e-08,4000,18,0.00750536996141676
"319",0.01,0.2,1e-08,4000,19,0.00348810585134628
"320",0.01,0.2,1e-08,4000,20,0.00486551472148228
"321",0.01,0.2,1e-08,4000,21,0.00288676913570711
"322",0.01,0.2,1e-08,4000,22,0.00739375065674465
"323",0.01,0.2,1e-08,4000,23,0.00493258151507722
"324",0.01,0.2,1e-08,4000,24,0.00404454752822557
"325",0.01,0.2,1e-08,4000,25,0.00840261101268381
"326",0.01,0.2,1e-08,4000,26,0.0104111090282484
"327",0.01,0.2,1e-08,4000,27,0.00734364827084371
"328",0.01,0.2,1e-08,4000,28,0.0140261517409153
"329",0.01,0.2,1e-08,4000,29,0.00853492049461288
"330",0.01,0.2,1e-08,4000,30,0.00900749342702921
"331",0.01,0.2,1e-08,4000,31,0.0051059915619735
"332",0.01,0.2,1e-08,4000,32,0.0102509454068786
"333",0.01,0.2,1e-08,4000,33,0.00488722347021728
"334",0.01,0.2,1e-08,4000,34,0.00777679562167347
"335",0.01,0.2,1e-08,4000,35,0.00538723186724602
"336",0.01,0.2,1e-08,4000,36,0.0049861311333457
"337",0.01,0.2,1e-08,4000,37,0.00824779364418014
"338",0.01,0.2,1e-08,4000,38,0.00503476033662642
"339",0.01,0.2,1e-08,4000,39,0.00790209585797664
"340",0.01,0.2,1e-08,4000,40,0.0109504409309725
"341",0.01,0.2,1e-08,4000,41,0.00549976319121584
"342",0.01,0.2,1e-08,4000,42,0.00655890400326005
"343",0.01,0.2,1e-08,4000,43,0.00575212939405453
"344",0.01,0.2,1e-08,4000,44,0.00536571859574752
"345",0.01,0.2,1e-08,4000,45,0.00690232267885762
"346",0.01,0.2,1e-08,4000,46,0.00688651144080378
"347",0.01,0.2,1e-08,4000,47,0.00836153882824045
"348",0.01,0.2,1e-08,4000,48,0.00862927947900129
"349",0.01,0.2,1e-08,4000,49,0.00687956075928576
"350",0.01,0.2,1e-08,4000,50,0.0063563530424419
"351",0.01,0.2,1e-08,4000,51,0.00754251933118053
"352",0.01,0.2,1e-08,4000,52,0.00631830357355257
"353",0.01,0.2,1e-08,4000,53,0.00787030186445694
"354",0.01,0.2,1e-08,4000,54,0.00474782550547146
"355",0.01,0.2,1e-08,4000,55,0.00883559482486589
"356",0.01,0.2,1e-08,4000,56,0.00541146715659373
"357",0.01,0.2,1e-08,4000,57,0.00803194075625538
"358",0.01,0.2,1e-08,4000,58,0.00542130186410102
"359",0.01,0.2,1e-08,4000,59,0.00460016867285134
"360",0.01,0.2,1e-08,4000,60,0.00620478696414851
"361",0.01,0.2,1e-08,4000,61,0.00521622471045731
"362",0.01,0.2,1e-08,4000,62,0.00739476943931568
"363",0.01,0.2,1e-08,4000,63,0.0145369731299236
"364",0.01,0.2,1e-08,4000,64,0.00607020712731149
"365",0.01,0.2,1e-08,4000,65,0.00614579446141372
"366",0.01,0.2,1e-08,4000,66,0.00836387071281065
"367",0.01,0.2,1e-08,4000,67,0.00599391962960651
"368",0.01,0.2,1e-08,4000,68,0.0051611326288873
"369",0.01,0.2,1e-08,4000,69,0.00589362015618093
"370",0.01,0.2,1e-08,4000,70,0.00846965421676278
"371",0.01,0.2,1e-08,4000,71,0.00619168173598553
"372",0.01,0.2,1e-08,4000,72,0.00858119201252339
"373",0.01,0.2,1e-08,4000,73,0.00752468010738834
"374",0.01,0.2,1e-08,4000,74,0.00628846975972345
"375",0.01,0.2,1e-08,4000,75,0.00536960624538704
"376",0.01,0.2,1e-08,4000,76,0.00692736454528255
"377",0.01,0.2,1e-08,4000,77,0.00749963944041152
"378",0.01,0.2,1e-08,4000,78,0.00588452695794915
"379",0.01,0.2,1e-08,4000,79,0.0038926905500438
"380",0.01,0.2,1e-08,4000,80,0.0123985311171241
"381",0.01,0.2,1e-08,4000,81,0.00416061695189584
"382",0.01,0.2,1e-08,4000,82,0.00544961751580245
"383",0.01,0.2,1e-08,4000,83,0.00985212430565981
"384",0.01,0.2,1e-08,4000,84,0.00647909064057245
"385",0.01,0.2,1e-08,4000,85,0.00802710102202197
"386",0.01,0.2,1e-08,4000,86,0.00603434716085396
"387",0.01,0.2,1e-08,4000,87,0.00552350678910604
"388",0.01,0.2,1e-08,4000,88,0.0044697493747672
"389",0.01,0.2,1e-08,4000,89,0.00544953805887064
"390",0.01,0.2,1e-08,4000,90,0.00439447306836218
"391",0.01,0.2,1e-08,4000,91,0.00609142889980749
"392",0.01,0.2,1e-08,4000,92,0.0100052110474205
"393",0.01,0.2,1e-08,4000,93,0.00517290654472707
"394",0.01,0.2,1e-08,4000,94,0.00557527605974493
"395",0.01,0.2,1e-08,4000,95,0.00614634663275579
"396",0.01,0.2,1e-08,4000,96,0.00817177480152267
"397",0.01,0.2,1e-08,4000,97,0.00605989636698967
"398",0.01,0.2,1e-08,4000,98,0.00863740858821415
"399",0.01,0.2,1e-08,4000,99,0.00572199832712341
"400",0.01,0.2,1e-08,4000,100,0.00575043653949883
"401",0.01,0.2,1e-09,4000,1,0.000918050492777103
"402",0.01,0.2,1e-09,4000,2,0.00048208546601595
"403",0.01,0.2,1e-09,4000,3,0.000299228418150341
"404",0.01,0.2,1e-09,4000,4,0.000364115230333226
"405",0.01,0.2,1e-09,4000,5,0.00238740854074198
"406",0.01,0.2,1e-09,4000,6,0.000698156563127013
"407",0.01,0.2,1e-09,4000,7,0.000478153239034252
"408",0.01,0.2,1e-09,4000,8,0.000397382094926153
"409",0.01,0.2,1e-09,4000,9,0.000381992972541981
"410",0.01,0.2,1e-09,4000,10,0.000700853409863303
"411",0.01,0.2,1e-09,4000,11,0.000443567964802283
"412",0.01,0.2,1e-09,4000,12,0.00102835755753122
"413",0.01,0.2,1e-09,4000,13,0.000460586520571855
"414",0.01,0.2,1e-09,4000,14,0.00104309552162313
"415",0.01,0.2,1e-09,4000,15,0.000946227745567194
"416",0.01,0.2,1e-09,4000,16,0.000306874900340872
"417",0.01,0.2,1e-09,4000,17,0.000837365938016717
"418",0.01,0.2,1e-09,4000,18,0.000840019252996018
"419",0.01,0.2,1e-09,4000,19,0.000670330745935749
"420",0.01,0.2,1e-09,4000,20,0.00069276696595415
"421",0.01,0.2,1e-09,4000,21,0.000359413796098563
"422",0.01,0.2,1e-09,4000,22,0.000584180746727534
"423",0.01,0.2,1e-09,4000,23,0.000302845860364306
"424",0.01,0.2,1e-09,4000,24,0.000558882475428702
"425",0.01,0.2,1e-09,4000,25,0.00106489582865946
"426",0.01,0.2,1e-09,4000,26,0.000815003197549041
"427",0.01,0.2,1e-09,4000,27,0.000434039717690786
"428",0.01,0.2,1e-09,4000,28,0.000362844702467344
"429",0.01,0.2,1e-09,4000,29,0.00043639272921225
"430",0.01,0.2,1e-09,4000,30,0.00116780452748832
"431",0.01,0.2,1e-09,4000,31,0.00073576860680405
"432",0.01,0.2,1e-09,4000,32,0.000463505000737394
"433",0.01,0.2,1e-09,4000,33,0.000398292691626342
"434",0.01,0.2,1e-09,4000,34,0.000207284211039713
"435",0.01,0.2,1e-09,4000,35,0.000688268316914643
"436",0.01,0.2,1e-09,4000,36,0.00157785356659371
"437",0.01,0.2,1e-09,4000,37,0.000447664130911511
"438",0.01,0.2,1e-09,4000,38,0.000832004858422531
"439",0.01,0.2,1e-09,4000,39,0.000428854779050444
"440",0.01,0.2,1e-09,4000,40,0.000988627748294162
"441",0.01,0.2,1e-09,4000,41,0.000448994252873563
"442",0.01,0.2,1e-09,4000,42,0.000613798548932557
"443",0.01,0.2,1e-09,4000,43,0.00073866422867107
"444",0.01,0.2,1e-09,4000,44,0.000940057840501524
"445",0.01,0.2,1e-09,4000,45,0.000705315096479201
"446",0.01,0.2,1e-09,4000,46,0.000991708714114419
"447",0.01,0.2,1e-09,4000,47,0.000618576905645586
"448",0.01,0.2,1e-09,4000,48,0.00078287785900972
"449",0.01,0.2,1e-09,4000,49,0.00065129841417799
"450",0.01,0.2,1e-09,4000,50,0.00109530700721128
"451",0.01,0.2,1e-09,4000,51,0.00103566968229309
"452",0.01,0.2,1e-09,4000,52,0.000892935784553426
"453",0.01,0.2,1e-09,4000,53,0.000382811752320796
"454",0.01,0.2,1e-09,4000,54,0.000385751680009797
"455",0.01,0.2,1e-09,4000,55,0.000578020614040425
"456",0.01,0.2,1e-09,4000,56,0.000706715915302816
"457",0.01,0.2,1e-09,4000,57,0.0008108606923177
"458",0.01,0.2,1e-09,4000,58,0.000825810775633795
"459",0.01,0.2,1e-09,4000,59,0.00032463433549155
"460",0.01,0.2,1e-09,4000,60,0.00109634843285774
"461",0.01,0.2,1e-09,4000,61,0.000622137941142162
"462",0.01,0.2,1e-09,4000,62,0.000624004368030576
"463",0.01,0.2,1e-09,4000,63,0.000573235286214587
"464",0.01,0.2,1e-09,4000,64,0.000293452344561961
"465",0.01,0.2,1e-09,4000,65,0.000666157964221261
